Date,Visitor,Home,goals_home,goals_visit,length,attendance,note
2015-10-07,Vancouver Canucks,Calgary Flames,1,5,2:32,19289,
2015-10-07,New York Rangers,Chicago Blackhawks,2,3,2:28,22104,
2015-10-07,San Jose Sharks,Los Angeles Kings,1,5,2:40,18230,
2015-10-07,Montreal Canadiens,Toronto Maple Leafs,1,3,2:36,19241,
2015-10-08,Winnipeg Jets,Boston Bruins,2,6,2:26,17565,
2015-10-08,Ottawa Senators,Buffalo Sabres,1,3,2:37,19070,
2015-10-08,Minnesota Wild,Colorado Avalanche,4,5,2:36,18007,
2015-10-08,Pittsburgh Penguins,Dallas Stars,3,0,2:41,18532,
2015-10-08,Carolina Hurricanes,Nashville Predators,2,1,2:25,17204,
2015-10-08,Edmonton Oilers,St. Louis Blues,3,1,2:25,19327,
2015-10-08,Philadelphia Flyers,Tampa Bay Lightning,3,2,2:34,19092,OT
2015-10-09,New York Rangers,Columbus Blue Jackets,2,4,2:31,19027,
2015-10-09,Toronto Maple Leafs,Detroit Red Wings,4,0,2:33,20027,
2015-10-09,Arizona Coyotes,Los Angeles Kings,1,4,2:27,18230,
2015-10-09,Winnipeg Jets,New Jersey Devils,1,3,2:26,14579,
2015-10-09,Chicago Blackhawks,New York Islanders,2,3,2:37,15795,OT
2015-10-10,Pittsburgh Penguins,Arizona Coyotes,2,1,2:30,17125,
2015-10-10,Montreal Canadiens,Boston Bruins,2,4,2:50,17565,
2015-10-10,Tampa Bay Lightning,Buffalo Sabres,1,4,2:27,17739,
2015-10-10,Detroit Red Wings,Carolina Hurricanes,3,4,2:29,18949,
2015-10-10,New York Islanders,Chicago Blackhawks,4,1,2:23,21392,
2015-10-10,Dallas Stars,Colorado Avalanche,6,3,2:31,16024,
2015-10-10,Philadelphia Flyers,Florida Panthers,7,1,2:37,19434,
2015-10-10,St. Louis Blues,Minnesota Wild,3,2,2:27,19096,
2015-10-10,Edmonton Oilers,Nashville Predators,2,0,2:32,17113,
2015-10-10,Columbus Blue Jackets,New York Rangers,5,2,2:33,18006,
2015-10-10,Anaheim Ducks,San Jose Sharks,2,0,2:25,17562,
2015-10-10,Ottawa Senators,Toronto Maple Leafs,4,5,2:53,19187,SO
2015-10-10,Calgary Flames,Vancouver Canucks,2,3,2:36,18570,OT
2015-10-10,New Jersey Devils,Washington Capitals,5,3,2:35,18506,
2015-10-11,Montreal Canadiens,Ottawa Senators,1,3,2:40,19177,
2015-10-12,Vancouver Canucks,Anaheim Ducks,1,2,2:25,17174,SO
2015-10-12,Tampa Bay Lightning,Boston Bruins,3,6,2:30,17565,
2015-10-12,Columbus Blue Jackets,Buffalo Sabres,4,2,2:27,18075,
2015-10-12,Winnipeg Jets,New York Islanders,4,2,2:37,11183,
2015-10-12,Florida Panthers,Philadelphia Flyers,1,0,2:29,19769,
2015-10-13,Florida Panthers,Carolina Hurricanes,1,4,2:14,10901,
2015-10-13,St. Louis Blues,Calgary Flames,3,4,2:23,18632,
2015-10-13,Edmonton Oilers,Dallas Stars,4,2,2:30,16265,
2015-10-13,Tampa Bay Lightning,Detroit Red Wings,3,1,2:27,20027,
2015-10-13,Vancouver Canucks,Los Angeles Kings,0,3,2:23,18230,
2015-10-13,Nashville Predators,New Jersey Devils,1,3,2:27,11117,
2015-10-13,Winnipeg Jets,New York Rangers,1,4,2:23,18006,
2015-10-13,Montreal Canadiens,Pittsburgh Penguins,2,3,2:23,18626,
2015-10-13,San Jose Sharks,Washington Capitals,0,5,2:33,18506,
2015-10-14,Arizona Coyotes,Anaheim Ducks,0,4,2:33,15172,
2015-10-14,Ottawa Senators,Columbus Blue Jackets,3,7,2:31,13803,
2015-10-14,Boston Bruins,Colorado Avalanche,2,6,2:17,15082,
2015-10-14,Chicago Blackhawks,Philadelphia Flyers,3,0,2:25,19779,
2015-10-15,Minnesota Wild,Arizona Coyotes,3,4,2:44,12029,
2015-10-15,St. Louis Blues,Edmonton Oilers,2,4,2:27,16839,
2015-10-15,Buffalo Sabres,Florida Panthers,3,2,2:36,11616,
2015-10-15,New York Rangers,Montreal Canadiens,3,0,2:37,21288,
2015-10-15,Nashville Predators,New York Islanders,4,3,2:32,10542,
2015-10-15,Ottawa Senators,Pittsburgh Penguins,2,0,2:29,18486,
2015-10-15,Dallas Stars,Tampa Bay Lightning,3,5,2:31,19092,
2015-10-15,Chicago Blackhawks,Washington Capitals,4,1,2:17,18506,
2015-10-16,Colorado Avalanche,Anaheim Ducks,0,3,2:29,17174,
2015-10-16,Toronto Maple Leafs,Columbus Blue Jackets,3,6,2:37,13885,
2015-10-16,Carolina Hurricanes,Detroit Red Wings,3,5,2:22,20027,
2015-10-16,Minnesota Wild,Los Angeles Kings,2,1,2:34,18230,OT
2015-10-16,San Jose Sharks,New Jersey Devils,1,2,2:37,12464,SO
2015-10-16,St. Louis Blues,Vancouver Canucks,3,4,2:24,18362,
2015-10-16,Calgary Flames,Winnipeg Jets,3,1,2:28,15294,
2015-10-17,Boston Bruins,Arizona Coyotes,3,5,2:35,13411,
2015-10-17,Edmonton Oilers,Calgary Flames,2,5,2:36,19289,
2015-10-17,Columbus Blue Jackets,Chicago Blackhawks,4,1,2:19,21563,
