DATE,PRCP,TMAX,TMIN
19400101,0,-44,-94
19400102,0,-22,-83
19400103,0,6,-83
19400104,0,0,-67
19400105,8,-17,-89
19400106,0,-11,-100
19400107,0,-33,-111
19400108,20,-44,-72
19400109,0,-17,-67
19400110,0,11,-78
19400111,0,0,-50
19400112,43,22,0
19400113,3,33,17
19400114,523,111,11
19400115,36,122,22
19400116,0,22,-72
19400117,3,-72,-106
19400118,0,-33,-106
19400119,28,-61,-122
19400120,0,-67,-139
19400121,0,0,-100
19400122,0,6,-78
19400123,0,-6,-67
19400124,0,-17,-56
19400125,0,-11,-67
19400126,0,-28,-94
19400127,0,-39,-106
19400128,0,-17,-94
19400129,0,6,-67
19400130,0,11,-56
19400131,0,17,-83
19400201,0,28,-56
19400202,20,0,-94
19400203,0,33,-94
19400204,0,28,-17
19400205,0,39,6
19400206,36,83,0
19400207,3,83,39
19400208,0,61,0
19400209,0,56,22
19400210,89,28,0
19400211,23,72,28
19400212,0,122,28
19400213,0,83,-6
19400214,246,6,-56
19400215,46,6,-56
19400216,0,28,-67
19400217,0,56,-39
19400218,0,28,-11
19400219,145,33,6
19400220,15,28,6
19400221,0,28,-17
19400222,0,28,-56
19400223,0,33,-33
19400224,0,50,-28
19400225,0,50,-67
19400226,0,-17,-94
19400227,46,-22,-89
19400228,0,17,-39
19400229,0,44,-50
19400301,0,44,-6
19400302,0,11,-28
19400303,175,11,-6
19400304,251,11,0
19400305,0,33,0
19400306,0,56,6
19400307,0,39,-6
19400308,0,44,0
19400309,0,44,-22
19400310,0,17,-11
19400311,0,0,-78
19400312,0,22,-89
19400313,0,39,-56
19400314,224,72,-11
19400315,180,78,6
19400316,46,6,-28
19400317,8,78,-17
19400318,8,56,0
19400319,46,111,22
19400320,10,89,17
19400321,0,61,-22
19400322,99,56,-28
19400323,0,-22,-78
19400324,0,-6,-83
19400325,0,6,-83
19400326,0,61,-33
19400327,0,61,-6
19400328,3,78,17
19400329,15,78,33
19400330,107,144,44
19400331,30,172,67
19400401,0,94,39
19400402,0,122,17
19400403,76,94,50
19400404,69,100,39
19400405,0,106,33
19400406,0,144,11
19400407,0,178,56
19400408,490,122,72
19400409,0,161,61
19400410,0,150,44
19400411,0,156,56
19400412,269,139,-17
19400413,13,17,-33
19400414,0,50,-11
19400415,0,111,-6
19400416,0,106,78
19400417,0,100,67
19400418,46,106,50
19400419,30,128,83
19400420,224,89,44
19400421,150,44,22
19400422,20,72,17
19400423,0,122,39
19400424,0,106,56
19400425,0,150,56
19400426,0,167,72
19400427,0,156,61
19400428,0,183,67
19400429,0,178,72
19400430,0,194,89
19400501,66,183,106
19400502,157,161,111
19400503,5,194,106
19400504,23,161,100
19400505,0,217,100
19400506,0,211,122
19400507,0,267,156
19400508,0,228,139
19400509,25,217,94
19400510,0,217,106
19400511,20,194,83
19400512,0,178,67
19400513,-9999,217,117
19400514,0,283,150
19400515,0,222,144
19400516,389,200,133
19400517,74,200,122
19400518,0,211,106
19400519,0,217,117
19400520,0,222,144
19400521,20,222,156
19400522,135,200,139
19400523,86,156,122
19400524,0,183,117
19400525,10,161,117
19400526,3,156,117
19400527,5,178,122
19400528,119,217,144
19400529,0,167,106
19400530,0,189,94
19400531,795,178,111
19400601,0,233,144
19400602,0,278,150
19400603,0,311,172
19400604,0,344,206
19400605,0,317,228
19400606,0,300,233
19400607,0,311,172
19400608,0,239,172
19400609,64,300,183
19400610,10,183,133
